Descriptor,Aliases,DUNS
"""Der Gruene Punkt "" – Duales System Deutschland GmbH","Dual System Deutschland AG|Duales System Deutschland GmbH|DUALES SYSTEM DEUTSCHLAND DSD|DUALES SYSTEM DEUTSCHLAND|DKR GESELLSCHAFT FUER KUNSTSTOFFRECYCLIN|Der Gruene Punkt|デュアル・システム・ドイチュラント|Duale System Deutschland|DUALEN SYSTEMS|DEUTSCHE KUNSTSTOFF RECYCLING DKR|DUALE SYSTEM|""Der Grüne Punkt "" – Duales System Deutschland GmbH",506924617
.com Solutions Inc,com Solutions Inc,106893055
22. decembar a.d. Banja Luka,22. decembar ad,643403780
26 Joint Stock Company,26 Joint Stock Company|26 JSC,555324536
27 Engineering Company Limited,,
"2AB, Incorporated",,016986544
3D Labs Incorporated Ltd,3DLABS INC LTD|3D Labs Inc.|3DLABS|3DLABS INC|3Dlabs Inc. Ltd.|3D LABS|Three D Labs Inc.,031874162
3DX Industries Inc,Specialty Metal Works LLC|Amarok Resources Inc.|Ukragro Corp.,962593922
3Dponics Inc.,,202711065
3M Company,"3M Microinterconnect Systems|Ecosse Medical Ltd.|Accuspray Application Technologies Inc.|3M Norge AS|3M Oesterreich GmbH|Original Wraps Inc.|Advanced Chemistry & Technology Inc (AC TECH)|Scotchgard™|3M Chile S.A.|JJ Converting LLC|Security Printing and Systems|GPI Group|3M Espana, S.A.|Bondo Corp|Food Diagnostics AS|Laboratorie Electro Acoustique|Venture Tape Corp.|Yamagata 3M Limited|GuardiaNet Systems Inc|3M Imtec Corporation|A-One|Post-it®|3M Nederland B.V.|3M South Africa (Pty) Ltd|J.R. Phoenix, Ltd.|Les Entreprises Solumed Inc|3M New Ventures|AIT Advanced Information Technologies|Diamond Productions Inc.|Faab and Fabricauto|Credence Technologies Inc,|한국3M|3M Österreich GmbH|Articulos de Papel DMS Chile|スリーエム ジャパン株式会社|３Ｍ|Financière Burgienne|3M Belgium NV|3M Sante|Brontes Technologies Inc.|3M Svenska|OMNII Oral Pharmaceuticals|3M Filtrete B.V.|Dyneon LLC|3M Cesko Spol. s.r.o.|スリーエムヘルスケア|Birla 3M Ltd.|ЗАО «3М Россия»|Minnesota Mining and Manufacturing|Rochford Thompson Equipment Ltd.|3M Hong Kong Limited|ミネソタ・マイニング・アンド・マニュファクチャリング|3M Lexington|Polymer Engineering Corp|3M公司|Winterthur Technologie AG|Biotrace International plc|Innovative Paper Technologies LLC|Standard Abrasives|CodeRyte Inc.|3M Unitek Corporation|K-Tech Ltd|Archon Technologies Inc|Interface Developments Ltd|3M Germany|3M Touch Systems UK Limited|EMFI S.A.|3M Healthcare|Federal Signal Technologies Group|3M 한국지사|Aearo Corporation|3M China|한국쓰리엠|3M East AG|Dental Preventive Products Co|3M (Schweiz) AG|한국쓰리엠(3M)|MicroTouch(R) Systems Inc.|Quante AG|3M Korea Ltd.|3M Romania|3M Malaysia Sdn Bhd|Aearo Company 1|IMTEC Corp|Minnesota Mining & Manufacturing Co.|Zeelan Industries, Inc.|3M Canada Co.|3M Visual Systems|EMFI SA|3M Korea Company|Ligacon AG|Powell LLC|3M A/S|MicroTouch Systems Inc.|3M Argentina S.A.C.I.F.I.A.|شركة 3 ام الأمريكية|Hornell International|Dailys|3M Europe NV|Arizant Inc|3M Schweiz AG|CUNO Inc.|3M Touch Systems Incorporated|Ceradyne Inc|شركة 3 ام|3M Ukraine|Imtech Corporation|3M Espana S.A.|3M Thailand Limited|スリーエム|3M (Thailand) Limited|Hybrivet Systems Inc.|Pouyet Communication India Ltd|3M Purification SAS|Acolyte Biomedica Ltd|PolyMask Corp|Grafoplast SpA|E Wood Holdings PLC|Riker Laboratories|3M (Europe) NV|Lingualcare Incorporated|3M Do Brasil|3M Health Care|3M France|TOP-Service fur Lingualtechnik GmbH|MTI Polyfab Inc.|3M Gulf Ltd.|Capital Safety Group Ltd|3M Precision Optics, Inc.|Dyneon GmbH & Co. KG|3M Electrical Markets Division|3M Co.|Fabricauto|SoftMed Systems Inc.|3M Deutschland|Robinson Nugent Inc.|3M Medical Division|3M Purification Pty Limited|3M Digital Signage|Scotch®|3M Wrocław Sp. z o.o.|Mercury Online Solutions Inc|Hyatt Imler Ott and Blount Inc|TECRA International Pty Ltd|FST Camera Ltd|3M Australia|한국 3M|Abzil Industria e Comercio Ltda|Laboratoires 3M Sante|Aearo Technologies Inc.|Cogent Inc|3M UK Holdings Ltd|Nylonge Corp.|SCC Products Inc|شركة ثري إم|3M Italia|Scott Technologies, Inc.|SAPO S.A.S.|3M Poland Sp. z o.o.|Meguiar's Inc.|CUNO Latina Ltda|3M Peru S.A.|3M (East) AG|Sumitomo 3M Ltd|3M Viscoplast SA|3M Manufacturera Venezuela S.A.|3M Innovative Properties Company|Quest Technologies Inc.|3M Purification Inc|3M Health Information Systems Inc.|3M Puerto Rico Inc.|Brontes Technologies, Inc.|3M Corp.",006173082
3SBio Inc.,三生製藥|3SBio Inc.|三生制药,544304761
4 pipes GmbH,,
407 ETR Concession Company Limited,,
4sight Holdings Limited,,561239852
4tell Solutions LLC,"4tellTM Solutions, LLC",830938267
6 River Systems Inc.,"6RS|6 River Systems, Inc. (6RS)",080281338
6. Oktobar a.d. Pancevo,6 Oktobar a.d. Pancevo,360270702
7 Juli a.d. Sabac,7. Juli AD Sabac,360257664
8 Stars Contracting Co. W.L.L,,
896 COMPUTERS,,500126370
A & J Gummers Ltd.,,230805673
A B S COMMUNICATION,,640777624
A MESSERLI,,487589699
A ROBERTSON,,211357293
A. J. Padelford & Son Inc.,,
A.G. Spencer Corp,AG Spencer Corp,097376839
A.Moksel AG,,
